"","DEPARTMENT","WORK.GROUP","CREATION.YEAR","CREATION.MONTH","Number.Of.Cases","Number.Of.Open.Cases","Number.Of.Cases.Exceeding.Timeframe","Percent.Of.Cases.Exceeding.Timeframe","UniqueID","Mean.Days.To.Close.Of.Closed.Cases","Median.Days.To.Close.Closed.Cases","Standard.Deviation","Above.One.Standard.Deviation","Above.Two.Standard.Deviations","Above.Three.Standard.Deviations","Below.One.Standard.Deviation","Below.Two.Standard.Deviations","Below.Three.Standard.Deviations","Month.Year","Date.End.Month"
"1639","Health","Health-Rat-",2007,7,44,0,1,2.27272727272727,"Health Health-Rat- 2007 7",1.68181818181818,1,2.33051274199305,4.01233092381123,6.34284366580428,8.67335640779733,-0.648694560174868,-2.97920730216792,-5.30972004416097,"2007.7","2007/07/31"
"1640","Health","Health-Rat-",2007,8,51,0,0,0,"Health Health-Rat- 2007 8",1,0,1.58745078663875,2.58745078663875,4.17490157327751,5.76235235991626,-0.587450786638754,-2.17490157327751,-3.76235235991626,"2007.8","2007/08/31"
"1641","Health","Health-Rat-",2007,9,77,0,0,0,"Health Health-Rat- 2007 9",1.41558441558442,1,1.68077871481495,3.09636313039936,4.77714184521431,6.45792056002926,-0.265194299230532,-1.94597301404548,-3.62675172886043,"2007.9","2007/09/30"
"1642","Health","Health-Rat-",2007,10,99,0,0,0,"Health Health-Rat- 2007 10",5.77777777777778,0,51.4090350900393,57.186812867817,108.595847957856,160.004883047896,-45.6312573122615,-97.0402924023007,-148.44932749234,"2007.10","2007/10/31"
"1643","Health","Health-Rat-",2007,11,77,0,1,1.2987012987013,"Health Health-Rat- 2007 11",0.909090909090909,0,1.90001259124511,2.80910350033602,4.70911609158113,6.60912868282623,-0.990921682154199,-2.89093427339931,-4.79094686464442,"2007.11","2007/11/30"
"1644","Health","Health-Rat-",2007,12,66,0,0,0,"Health Health-Rat- 2007 12",0.575757575757576,0,1.34805393706981,1.92381151282739,3.2718654498972,4.61991938696701,-0.772296361312235,-2.12035029838205,-3.46840423545186,"2007.12","2007/12/31"
"1645","Health","Health-Rat-",2008,1,68,0,0,0,"Health Health-Rat- 2008 1",0.441176470588235,0,1.08424749255405,1.52542396314229,2.60967145569634,3.69391894825039,-0.643071021965815,-1.72731851451987,-2.81156600707392,"2008.1","2008/01/31"
"1646","Health","Health-Rat-",2008,2,43,0,0,0,"Health Health-Rat- 2008 2",0.511627906976744,0,0.882962896897653,1.3945908038744,2.27755370077205,3.1605165976697,-0.371334989920909,-1.25429788681856,-2.13726078371622,"2008.2","2008/02/29"
"1647","Health","Health-Rat-",2008,3,44,0,0,0,"Health Health-Rat- 2008 3",1.34090909090909,0,2.06795238371457,3.40886147462366,5.47681385833824,7.54476624205281,-0.727043292805482,-2.79499567652005,-4.86294806023463,"2008.3","2008/03/31"
"1648","Health","Health-Rat-",2008,4,73,0,0,0,"Health Health-Rat- 2008 4",0.863013698630137,0,1.70224580818295,2.56525950681308,4.26750531499603,5.96975112317897,-0.839232109552808,-2.54147791773575,-4.2437237259187,"2008.4","2008/04/30"
